album,genre,,,,artiste,,,,nbVentes(en millions),,,duree(en minutes),,,anneeSortie,,,rca
,rock,folk,rap,jazz,neil_young,the_beatles,tribe_called_quest,frank zappa,N<=1,1<n<=4,n>4,D<=40,40<d<=50,d>50,a<=1970,1970<a<=1990,a>1990,rca
harvest,x,x,,,x,,,,,x,,x,,,,x,,rca
the_low_end_theory, ,,x,x,,,x,,x,,,,x,,,,x,rca
midnight_marauders,,,x,x,,,x,,x,,,,,x,,,x,rca
hot_rats,x,,,x,,,,x,x,,,,x,,x,,,rca
joeâ€™s_garage,x,,,x,,,,x,x,,,,,x,,x,,rca
on_the_beach,x,x,,,x,,,,x,,,x,,,,x,,rca
help,x,x,,,,x,,,,x,,x,,,x,,,rca
let_it_be,x,,,,,x,,,,,x,x,,,x,,,rca
rubber_soul,x,x,,,,x,,,,,x,x,,,x,,,rca
comes_a_time,,x,,,x,,,,,x,,x,,,,x,,rca
beats_rhymes_and_life,,,x,x,,,x,,x,,,,,x,,,x,rca
